date,cambricon_price,cambricon_change,cambricon_turnover,cambricon_market_cap,moore_price,moore_change,moore_market_cap,sector_index,sector_change
2025-12-05,1455.00,,2.1000,0.00,600.50,,0.00,4690.79,
2025-12-08,1417.80,-2.5567,2.3600,0.00,594.25,-1.0408,0.00,4795.18,2.2254
2025-12-09,1436.00,1.2837,2.1700,0.00,628.31,5.7316,0.00,4777.71,-0.3643
2025-12-10,1420.88,-1.0529,1.5100,0.00,735.00,16.9805,0.00,4787.15,0.1976
2025-12-11,1382.02,-2.7349,1.4800,0.00,941.08,28.0381,0.00,4742.28,-0.9373
2025-12-12,1344.00,-2.7510,2.1900,0.00,814.88,-13.4101,0.00,4878.95,2.8819
2025-12-15,1331.90,-0.9003,1.5300,0.00,764.90,-6.1334,0.00,4806.63,-1.4823
2025-12-16,1273.92,-4.3532,1.7700,0.00,710.39,-7.1264,0.00,4737.26,-1.4432
2025-12-17,1315.60,3.2718,1.5100,0.00,714.80,0.6208,0.00,4822.88,1.8074
2025-12-18,1287.00,-2.1739,0.9300,0.00,705.71,-1.2717,0.00,4736.93,-1.7821
2025-12-19,1268.00,-1.4763,1.0300,0.00,664.10,-5.8962,0.00,4719.74,-0.3629
2025-12-22,1284.77,1.3226,1.5500,0.00,673.00,1.3402,0.00,4934.34,4.5469
2025-12-23,1336.02,3.9890,2.1900,0.00,676.80,0.5646,0.00,5022.88,1.7944
2025-12-24,1326.20,-0.7350,1.4200,0.00,634.01,-6.3224,0.00,5036.00,0.2612
2025-12-25,1319.41,-0.5120,0.9700,0.00,628.86,-0.8123,0.00,5038.59,0.0514
2025-12-26,1303.89,-1.1763,1.1400,0.00,617.30,-1.8382,0.00,4972.67,-1.3083
2025-12-29,1358.50,4.1882,2.3500,0.00,615.02,-0.3694,0.00,4954.97,-0.3559
2025-12-30,1415.80,4.2179,2.1800,0.00,609.21,-0.9447,0.00,4997.09,0.8501
2025-12-31,1355.55,-4.2555,1.6800,0.00,587.90,-3.4980,0.00,4948.87,-0.9650
2026-01-05,1390.00,2.5414,1.5700,0.00,619.65,5.4006,0.00,5225.17,5.5831
2026-01-06,1383.10,-0.4964,1.6600,0.00,614.00,-0.9118,0.00,5391.51,3.1834
2026-01-07,1394.88,0.8517,1.6300,0.00,617.54,0.5765,0.00,5708.56,5.8805
2026-01-08,1444.00,3.5214,3.5700,0.00,674.02,9.1460,0.00,5712.23,0.0643
2026-01-09,1491.00,3.2548,2.4400,0.00,664.25,-1.4495,0.00,5712.49,0.0046
2026-01-12,1509.99,1.2736,2.2700,0.00,648.59,-2.3575,0.00,5783.23,1.2383
2026-01-13,1408.99,-6.6888,2.3900,0.00,650.15,0.2405,0.00,5582.24,-3.4754
2026-01-14,1439.12,2.1384,2.1400,0.00,648.00,-0.3307,0.00,5725.89,2.5733
2026-01-15,1415.00,-1.6760,1.3800,0.00,635.74,-1.8920,0.00,5935.23,3.6560
2026-01-16,1424.05,0.6396,1.7300,0.00,646.76,1.7334,0.00,6097.50,2.7340
2026-01-19,1419.66,-0.3083,1.6500,0.00,633.30,-2.0811,0.00,6081.45,-0.2632
2026-01-20,1343.04,-5.3971,2.0900,0.00,615.21,-2.8565,0.00,5993.15,-1.4520
2026-01-21,1353.87,0.8064,1.8100,0.00,627.30,1.9652,0.00,6064.87,1.1967
2026-01-22,1353.00,-0.0643,1.4200,0.00,628.60,0.2072,0.00,5948.85,-1.9130
2026-01-23,1334.99,-1.3311,1.5200,0.00,618.53,-1.6020,0.00,6035.28,1.4529
2026-01-26,1300.00,-2.6210,1.6200,0.00,603.01,-2.5092,0.00,5817.30,-3.6118
2026-01-27,1300.89,0.0685,1.5200,0.00,605.42,0.3997,0.00,5913.67,1.6566
2026-01-28,1282.78,-1.3921,1.6700,0.00,602.88,-0.4195,0.00,5981.76,1.1514
2026-01-29,1252.01,-2.3987,1.7100,0.00,590.08,-2.1231,0.00,5715.32,-4.4542
2026-01-30,1258.89,0.5495,1.5200,0.00,590.01,-0.0119,0.00,5729.27,0.2441
2026-02-02,1242.00,-1.3417,1.5900,0.00,570.00,-3.3915,0.00,5463.40,-4.6406
2026-02-03,1128.00,-9.1787,5.4100,0.00,554.92,-2.6456,0.00,5570.14,1.9537
2026-02-04,1068.00,-5.3191,2.8100,0.00,543.87,-1.9913,0.00,5524.52,-0.8190
2026-02-05,1058.33,-0.9054,1.9000,0.00,534.58,-1.7081,0.00,5501.27,-0.4209
2026-02-06,1036.99,-2.0164,1.9100,0.00,536.99,0.4508,0.00,5473.05,-0.5130
2026-02-09,1086.80,4.8033,2.3100,0.00,564.88,5.1938,0.00,5603.74,2.3879
2026-02-10,1100.90,1.2974,2.3100,0.00,573.00,1.4375,0.00,5623.51,0.3528
2026-02-11,1078.90,-1.9984,1.3200,0.00,564.00,-1.5707,0.00,5557.74,-1.1696
2026-02-12,1112.50,3.1143,2.0800,0.00,581.80,3.1560,0.00,5592.95,0.6335
2026-02-13,1120.68,0.7353,1.6900,0.00,575.50,-1.0828,0.00,5635.74,0.7651
